Financial Year,Population,GSP ($ Million),Energy consumption (PJ),Energy consumption per capita (GJ/Person),Energy intensity (GJ/$ million),Energy productivity ($ million/PJ)
2008-09,7408540,523607,1593.50,215.10,3043.40,328.60
2009-10,7506058,532452,1645.30,219.20,3090.00,323.60
2010-11,7586514,543726,1668.00,219.90,3067.80,326.00
2011-12,7680783,557491,1621.30,211.10,2908.20,343.90
2012-13,7787289,570117,1568.40,201.40,2751.10,363.50
2013-14,7897152,582250,1526.50,193.30,2621.80,381.40
2014-15,8011981,598195,1478.80,184.60,2472.20,404.50
2015-16,8135962,620416,1524.30,187.30,2456.80,407.00
2016-17,8267695,637023,1533.00,185.40,2406.60,415.50
2017-18,8375720,652122,1564.70,186.80,2399.40,416.80
2018-19,8475582,668743,1555.60,183.50,2326.20,429.90
2019-20,8544949,666775,1477.80,172.90,2216.30,451.20
2020-21,8547373,677009,1402.40,164.10,2071.50,482.80
