Fuel Source,Renewable,2008-09,2009-10,2010-11,2011-12,2012-13,2013-14,2014-15,2015-16,2016-17,2017-18,2018-19,2019-20,2020-21
  Black coal,Non-Renewable,67650.30,64398.60,60732.20,60453.70,56798.60,55819.50,52562.20,55334.50,55967.10,57022.20,57734.90,53566.70,50790.80
  Brown coal,Non-Renewable,,,,,,,,,,,,,
  Natural gas,Non-Renewable,2445.10,4681.30,4742.70,4212.10,5168.70,5528.30,4528.40,4628.60,3330.80,3045.80,2360.30,2870.90,1903.20
  Oil products,Non-Renewable,24.70,5.60,61.40,42.10,190.90,170.70,284.30,289.50,321.60,324.40,322.60,337.30,340.60
  Other,Non-Renewable,336.60,493.60,266.10,,,,,,,,,,
"  Bagasse, wood",Renewable,291.30,295.30,253.30,413.60,425.40,461.70,551.10,601.70,696.50,765.00,758.80,716.20,686.10
  Biogas,Renewable,383.40,385.80,360.00,408.70,413.40,420.60,472.10,444.60,406.20,424.40,418.80,387.40,411.00
  Wind,Renewable,41.30,432.50,530.10,697.60,832.60,899.20,1376.00,1898.80,1872.00,2431.60,3739.70,4574.30,4805.90
  Hydro,Renewable,1497.00,2689.50,2474.90,2446.90,3298.10,2721.10,1771.00,3170.20,3290.60,2915.50,2160.30,2110.10,2964.20
Large-scale solar PV,Renewable,,,,,,10.60,60.20,399.50,567.60,700.00,1348.20,2084.60,3368.00
  Small-scale solar PV,Renewable,36.30,119.20,526.30,657.70,857.60,964.90,1211.20,1461.90,1706.80,2095.80,2717.10,3417.30,4892.90
  Geothermal,Renewable,,,,,,,,,,,,,
