Financial Year,Population,GSP ($ Million),Energy consumption (PJ),Energy consumption per capita (GJ/Person),Energy intensity (GJ/$ million),Energy productivity ($ million/PJ)
2008-09,226027,20356,95.00,420.50,4669.10,214.20
2009-10,229778,20250,94.20,409.80,4650.60,215.00
2010-11,231292,20852,99.80,431.40,4785.40,209.00
2011-12,235915,21698,98.20,416.20,4525.50,221.00
2012-13,241722,23197,100.20,414.30,4317.60,231.60
2013-14,242894,23490,99.10,408.20,4220.60,236.90
2014-15,244692,23796,84.00,343.20,3529.50,283.30
2015-16,245678,24286,83.90,341.60,3455.40,289.40
2016-17,248161,24653,83.30,335.70,3379.70,295.90
2017-18,248363,25125,90.20,363.00,3588.50,278.70
2018-19,248153,24849,133.00,536.10,5353.40,186.80
2019-20,248943,26339,146.50,588.40,5561.50,179.80
2020-21,249200,26181,145.10,582.40,5543.40,180.40
