Financial Year,Agriculture,Mining,Manufacturing,Electricity generation,Construction,Transport,Water and waste,Commercial and services,Residential,Other
2008-09,1.3,25.1,21.5,21.3,0.3,14.8,0,7,3.2,0.7
2009-10,1.3,20,23,23.8,0.3,14.3,0.2,7.6,3.3,0.4
2010-11,1.3,23.4,24,22.4,0.4,18.8,0.1,6.2,2.7,0.6
2011-12,1.3,21.5,24.2,22.9,0.4,18.4,0.1,6.6,2.3,0.4
2012-13,1.3,26,23.2,22.1,0.5,18.2,0,6.3,2.1,0.5
2013-14,1.2,26.1,17.9,22.9,0.6,18.6,0.3,9,2.2,0.3
2014-15,1.2,25,2.4,24.2,1,21.1,0,5.9,3,0.3
2015-16,1.3,26.9,1.2,23.4,0.8,20.8,0.1,6.1,3.1,0.3
2016-17,1.7,24.9,1.2,24.5,0.9,20.5,0.1,6.1,3.2,0.2
2017-18,1.7,28,1.1,27.7,0.5,21.6,0.1,6,3.2,0.2
2018-19,1.9,59.1,0.5,33.3,0.4,28.7,0.1,5.5,3.4,0.1
2019-20,1.9,78.2,0.4,33.1,0.2,23.8,0.1,5,3.6,0.2
2020-21,2.3,76.5,0.4,32.6,0.3,24.1,0.1,5,3.8,0.2
