Financial Year,Population,GSP ($ Million),Energy consumption (PJ),Energy consumption per capita (GJ/Person),Energy intensity (GJ/$ million),Energy productivity ($ million/PJ)
2008-09,4328771,286209,1345.70,310.90,4701.90,212.70
2009-10,4404744,292181,1294.40,293.90,4430.10,225.70
2010-11,4476778,294831,1249.60,279.10,4238.40,235.90
2011-12,4568687,312040,1314.80,287.80,4213.60,237.30
2012-13,4652824,320969,1334.80,286.90,4158.60,240.50
2013-14,4719653,328237,1338.90,283.70,4078.90,245.20
2014-15,4777692,330946,1436.10,300.60,4339.50,230.40
2015-16,4845152,338839,1464.60,302.30,4322.30,231.40
2016-17,4928374,347445,1531.90,310.80,4409.00,226.80
2017-18,5010502,360646,1547.80,308.90,4291.80,233.00
2018-19,5094718,363975,1520.20,298.40,4176.70,239.40
2019-20,5175003,361709,1478.70,285.70,4088.00,244.60
2020-21,5217653,368977,1445.20,277.00,3916.80,255.30
