Financial Year,Agriculture,Mining,Manufacturing,Electricity generation,Construction,Transport,Water and waste,Commercial and services,Residential,Other
2008-09,22.5,80.3,279.3,497.2,8.1,321.5,1.5,55.7,57.1,22.6
2009-10,22.6,86.5,302.4,410.5,7.4,326,1.1,55.5,58.4,24
2010-11,22.9,91,301.7,360.2,7.2,329.6,1.1,56.4,60.1,19.4
2011-12,23.3,104.4,303.5,397.2,6.7,343.7,1.2,54.7,59.9,20.3
2012-13,24.8,118.2,324.1,374.9,6.3,346.8,1.1,58.5,60.8,19.3
2013-14,25,122.5,319.3,368.8,6.4,349.6,1.2,59.6,61,25.6
2014-15,25.2,131.6,352.9,417.1,8.4,353.4,2.1,64.4,59.3,21.7
2015-16,26.6,173.8,309.5,422.1,8.2,371.8,2.6,62.9,59.4,27.7
2016-17,29.2,222.7,316.3,428,7.8,376.3,2.6,63.4,60.6,25.1
2017-18,29.9,242.3,291.7,433.9,8,398.1,2.1,61.4,60.6,19.7
2018-19,26.2,255.4,274,420.9,7.6,397.1,3.2,59,63.4,13.6
2019-20,24.6,264,270,409.1,7,364.3,3.7,55.1,66.1,14.7
2020-21,29.4,264,270.7,398.5,6.9,336.1,3.2,54.2,69.3,12.9
