Fuel Source,Renewable,2008-09,2009-10,2010-11,2011-12,2012-13,2013-14,2014-15,2015-16,2016-17,2017-18,2018-19,2019-20,2020-21
  Black coal,Renewable,50882.20,49713.70,45864.30,45417.30,44415.60,40260.70,44553.80,48015.80,51042.70,53635.30,52120.60,48568.90,46248.20
  Brown coal,Renewable,,,,,,,,,,,,,
  Natural gas,Renewable,9257.20,12020.60,14595.30,15303.40,13909.50,15454.30,18248.50,13816.90,12236.60,11045.50,9933.90,11214.10,10324.40
  Oil products,Renewable,711.40,370.70,373.70,306.00,1042.60,959.50,1197.20,1199.10,1215.90,1047.70,1000.60,983.70,1034.90
  Other,Renewable,691.80,1025.90,1038.70,15.70,54.20,,,,,,,,
"  Bagasse, wood",Non-renewable,1472.10,1466.50,823.70,1005.60,1117.80,1403.00,1550.30,1656.30,1291.80,1252.90,1157.90,1029.80,1076.40
  Biogas,Non-renewable,116.40,81.50,97.00,119.20,121.40,82.80,91.10,115.50,118.30,126.50,175.10,189.20,198.50
  Wind,Non-renewable,27.30,30.90,27.30,27.70,30.70,33.70,32.50,28.40,29.00,30.30,399.10,927.90,1826.00
  Hydro,Non-renewable,820.20,572.80,965.60,723.20,684.10,820.90,649.10,491.70,672.20,646.10,1057.30,634.60,950.20
Large-scale solar PV,Non-renewable,,,,,,4.00,5.90,7.30,34.10,171.50,1491.70,3334.50,3395.80
  Small-scale solar PV,Non-renewable,50.80,121.30,400.60,760.30,1310.20,1460.60,1788.00,2055.90,2335.90,2760.90,3330.20,4120.20,5160.90
  Geothermal,Non-renewable,0.50,0.50,0.50,0.50,0.50,0.50,0.60,0.20,0.50,,,,
