Financial Year,Population,GSP ($ Million),Energy consumption (PJ),Energy consumption per capita (GJ/Person),Energy intensity (GJ/$ million),Energy productivity ($ million/PJ)
2008-09,1608902,98259,357.20,222.00,3635.50,275.10
2009-10,1627322,100302,343.70,211.20,3426.90,291.80
2010-11,1639614,102564,342.80,209.10,3342.40,299.20
2011-12,1656725,103611,307.70,185.70,2969.40,336.80
2012-13,1671488,104385,356.30,213.20,3413.10,293.00
2013-14,1686945,104530,337.10,199.80,3224.60,310.10
2014-15,1700668,105656,356.90,209.90,3378.20,296.00
2015-16,1712843,106275,316.40,184.70,2977.10,335.90
2016-17,1729608,108185,287.40,166.20,2656.40,376.50
2017-18,1748010,110504,334.60,191.40,3028.40,330.20
2018-19,1770048,111793,326.90,184.70,2924.50,341.90
2019-20,1793547,110652,319.50,178.10,2887.00,346.40
2020-21,1803192,114921,311.20,172.60,2707.60,369.30
