Fuel Source,Renewable,2008-09,2009-10,2010-11,2011-12,2012-13,2013-14,2014-15,2015-16,2016-17,2017-18,2018-19,2019-20,2020-21
  Black coal,Non-Renewable,,,,,,,,,,,,,
  Brown coal,Non-Renewable,4887.40,4526.60,4231.60,3008.00,2237.50,2098.50,2633.60,2593.70,,,,,
  Natural gas,Non-Renewable,7371.40,6937.00,6693.10,6703.20,7060.90,5998.10,5003.80,4956.00,6028.20,7753.20,7245.80,6614.00,5589.00
  Oil products,Non-Renewable,63.20,163.90,89.30,97.80,141.00,106.90,197.30,136.20,183.10,132.80,163.00,159.40,126.70
  Other,Non-Renewable,337.40,335.40,266.90,,8.50,,,,,,,,
"  Bagasse, wood",Renewable,,,,,,,,,,,,,
  Biogas,Renewable,86.10,85.50,77.80,70.60,72.60,80.90,84.90,94.60,78.00,74.00,85.00,97.40,94.60
  Wind,Renewable,2020.20,2029.00,2890.30,3126.50,3313.50,4150.30,4291.90,4398.00,4413.70,5673.90,5711.00,5812.90,5867.10
  Hydro,Renewable,4.10,4.20,4.10,4.40,5.90,5.90,10.80,6.50,3.50,6.40,8.80,10.30,3.50
Large-scale solar PV,Renewable,,,,,,1.40,1.70,2.00,3.90,20.00,321.30,627.80,884.30
  Small-scale solar PV,Renewable,23.40,50.70,182.80,398.10,558.60,677.90,802.20,895.50,1000.80,1163.40,1402.50,1717.60,2128.20
  Geothermal,Renewable,,,,,,,,,,,,,
