Financial Year,Population,GSP ($ Million),Energy consumption (PJ),Energy consumption per capita (GJ/Person),Energy intensity (GJ/$ million),Energy productivity ($ million/PJ)
2008-09,504353,27684,113.80,225.60,4110.50,243.30
2009-10,508847,27905,113.70,223.50,4076.10,245.30
2010-11,511483,28590,113.80,222.50,3981.30,251.20
2011-12,511724,29156,107.00,209.00,3668.90,272.60
2012-13,512231,28999,112.30,219.30,3873.30,258.20
2013-14,513621,29368,108.00,210.30,3677.50,271.90
2014-15,515117,29710,104.90,203.70,3531.70,283.10
2015-16,517514,30276,107.10,206.90,3536.10,282.80
2016-17,528324,30594,107.50,203.40,3512.50,284.70
2017-18,540112,31557,110.50,204.70,3502.90,285.50
2018-19,552310,32647,108.20,195.80,3313.20,301.80
2019-20,563507,32840,100.10,177.60,3047.30,328.20
2020-21,567909,34083,103.00,181.40,3021.90,330.90
