Financial Year,Agriculture,Mining,Manufacturing,Electricity generation,Construction,Transport,Water and waste,Commercial and services,Residential,Other
2008-09,3.7,3.1,45.2,7.3,0.5,29.7,0.1,8.2,14.7,1.2
2009-10,3.7,3,44.1,8.5,0.5,29.9,0.1,8.2,14.9,0.9
2010-11,3,3.2,44.1,10.8,0.5,27.9,0.2,8.6,14.5,0.9
2011-12,3,3.6,40.8,9.7,0.4,25.7,0.2,8.2,14.5,0.9
2012-13,3.5,3.4,45.3,10.4,0.3,25.6,0.1,8.4,14.5,0.9
2013-14,3.8,3.3,44.8,7.1,0.3,24.9,0.3,8.5,14.3,0.8
2014-15,4.4,2.9,44.7,3.7,0.4,25.1,0.3,10,12.7,0.8
2015-16,4.2,2.6,42.9,8.1,0.4,25.2,0.3,10.1,13,0.2
2016-17,4,2.6,44.7,7.8,0.4,24.4,0.3,9.8,13.2,0.3
2017-18,4,3.2,45.8,8.4,0.4,24.7,0.3,9.9,13.4,0.4
2018-19,4.3,3.3,43.3,6.4,0.5,26.4,0.3,9.6,13.3,0.7
2019-20,3.5,3.5,39.9,4.3,0.5,24.4,0.4,9.2,13.7,0.8
2020-21,4.8,3.6,40.5,4.2,0.4,25.6,0.3,8.8,14,0.7
