Fuel Source,Renewable,2008-09,2009-10,2010-11,2011-12,2012-13,2013-14,2014-15,2015-16,2016-17,2017-18,2018-19,2019-20,2020-21
  Black coal,Non-Renewable,,,,,,,,,,,,,
  Brown coal,Non-Renewable,,,,,,,,,,,,,
  Natural gas,Non-Renewable,705.30,1109.80,1506.00,1562.70,1752.50,985.00,131.00,858.00,897.60,980.40,619.80,196.60,186.10
  Oil products,Non-Renewable,64.50,73.90,94.90,60.50,12.10,19.70,18.90,90.30,21.80,24.30,19.30,20.70,19.80
  Other,Non-Renewable,,,,,26.80,,,,,,,,
"  Bagasse, wood",Renewable,,,,,,,,,,,,,
  Biogas,Renewable,25.10,29.00,29.90,33.30,33.00,30.60,34.60,27.30,24.50,24.10,27.00,30.90,31.80
  Wind,Renewable,486.90,489.30,483.50,423.10,477.50,818.00,1055.10,1056.00,1104.80,1147.80,1147.20,1362.00,1815.30
  Hydro,Renewable,7313.60,8307.20,9451.50,8515.50,10766.40,12072.60,8294.40,8204.30,8432.70,9428.90,9821.10,9878.30,8301.90
Large-scale solar PV,Renewable,,,,,,0.00,0.00,0.00,0.30,0.60,1.50,2.80,3.00
  Small-scale solar PV,Renewable,1.80,5.60,11.60,22.70,53.30,73.50,96.80,108.50,121.60,138.90,161.80,187.20,218.60
  Geothermal,Renewable,,,,,,,,,,,,,
