Financial Year,Population,GSP ($ Million),Energy consumption (PJ),Energy consumption per capita (GJ/Person),Energy intensity (GJ/$ million),Energy productivity ($ million/PJ)
2008-09,5371934,364430,1428.40,265.90,3919.40,255.10
2009-10,5461101,367948,1433.50,262.50,3895.80,256.70
2010-11,5537817,378616,1455.70,262.90,3844.80,260.10
2011-12,5651091,387684,1464.40,259.10,3777.30,264.70
2012-13,5772669,391361,1429.30,247.60,3652.20,273.80
2013-14,5894917,399281,1397.70,237.10,3500.60,285.70
2014-15,6022322,410426,1394.40,231.50,3397.40,294.30
2015-16,6173172,424414,1416.90,229.50,3338.60,299.50
2016-17,6299798,440670,1388.10,220.30,3149.90,317.50
2017-18,6418168,455568,1314.10,204.70,2884.50,346.70
2018-19,6530852,469464,1279.50,195.90,2725.40,366.90
2019-20,6606149,470072,1213.30,183.70,2581.20,387.40
2020-21,6548040,468264,1136.20,173.50,2426.40,412.10
