Financial Year,Population,GSP ($ Million),Energy consumption (PJ),Energy consumption per capita (GJ/Person),Energy intensity (GJ/$ million),Energy productivity ($ million/PJ)
2008-09,2240250,216002,917.40,409.50,4247.20,235.50
2009-10,2290845,228873,905.90,395.40,3958.00,252.70
2010-11,2353409,239627,980.40,416.60,4091.30,244.40
2011-12,2425507,259517,982.20,405.00,3784.90,264.20
2012-13,2486944,275222,1019.50,409.90,3704.30,270.00
2013-14,2517608,291130,1066.60,423.70,3663.70,272.90
2014-15,2540672,297620,1045.40,411.50,3512.40,284.70
2015-16,2555978,300590,1123.90,439.70,3739.00,267.40
2016-17,2587577,297375,1177.00,454.90,3958.00,252.70
2017-18,2621052,304445,1209.90,461.60,3974.00,251.60
2018-19,2663795,309245,1264.70,474.80,4089.60,244.50
2019-20,2718400,312478,1268.10,466.50,4058.30,246.40
2020-21,2749864,320653,1246.50,453.30,3887.30,257.20
