Fuel Source,Renewable,2008-09,2009-10,2010-11,2011-12,2012-13,2013-14,2014-15,2015-16,2016-17,2017-18,2018-19,2019-20,2020-21
  Black coal,Non-Renewable,8738,9612.2,10352.3,10783.3,10276.9,10885.3,10523.4,10912.7,11226.2,11031.9,9954,9725.2,9212.4
  Brown coal,Non-Renewable,,,,,,,,,,,,,
  Natural gas,Non-Renewable,14556.1,16006.3,18115.7,17538.3,17645.1,20880,20412.8,21899.6,22941.4,24789.1,25778.3,26918.6,25680.3
  Oil products,Non-Renewable,1464.4,1373.4,1413.8,1171.2,2045,2486.1,4223.5,3347.4,2883.5,2166.5,2417.9,2301.7,2458.3
  Other,Non-Renewable,2153,1017.8,1029.4,1072.4,1855.8,,,,,,,,
"  Bagasse, wood",Renewable,,,,,,,,,,,,,
  Biogas,Renewable,119.6,121.2,111.7,125.7,108.3,124,126.9,94.6,183.2,141.1,131.3,112.4,110.8
  Wind,Renewable,675.1,664,719.3,1278.7,1300.2,1578.8,1643.2,1476.5,1616.7,1587,1851.2,2122.5,3140.5
  Hydro,Renewable,,,,,221.3,205.4,206.1,217,212.6,220.8,217,205.5,128
Large-scale solar PV,Renewable,,,,,,24.1,23.9,28.3,34.3,45.6,74.5,174.7,486.6
  Small-scale solar PV,Renewable,18.7,57.5,198.1,331.4,449.5,495.8,622.1,760.8,941.1,1196.4,1486.7,1835.3,2298.5
  Geothermal,Renewable,,,,,,,,,,,,,
